USAF,NCDC,Date,HrMn,I,Type,QCP,Dir,Q,I,Spd,Q,Temp,Q,Dewpt,Q,Slp,Q,RHx,
419920,99999,20121115,0000,4,FM-12,    ,360,1,N,  4.1,1,  22.7,1,  18.0,1,1009.4,1, 75,
419920,99999,20121115,0600,4,FM-12,    ,190,1,N,  2.6,1,  29.0,1,  21.0,1,1010.5,1, 62,
419920,99999,20121115,1200,4,FM-12,    ,999,9,C,  0.0,1,  25.7,1,  23.0,1,1010.1,1, 85,
419920,99999,20121115,1800,4,FM-12,    ,999,9,C,  0.0,1,  24.5,1,  23.0,1,1011.9,1, 91,
419920,99999,20121116,0000,4,FM-12,    ,999,9,C,  0.0,1,  23.5,1,  23.0,1,1010.7,1, 97,
419920,99999,20121116,0600,4,FM-12,    ,999,9,C,  0.0,1,  26.6,1,  23.0,1,1011.8,1, 81,
419920,99999,20121116,1200,4,FM-12,    ,999,9,C,  0.0,1,  24.0,1,  23.0,1,1010.7,1, 94,
419920,99999,20121116,1800,4,FM-12,    ,999,9,C,  0.0,1,  23.6,1,  23.0,1,1010.9,1, 96,
419920,99999,20121117,0000,4,FM-12,    ,999,9,C,  0.0,1,  23.0,1,  22.0,1,1009.4,1, 94,
419920,99999,20121117,0600,4,FM-12,    ,999,9,C,  0.0,1,  30.0,1,  23.0,1,1011.3,1, 66,
419920,99999,20121117,1200,4,FM-12,    ,999,9,C,  0.0,1,  27.4,1,  25.0,1,1008.9,1, 87,
419920,99999,20121117,1800,4,FM-12,    ,999,9,C,  0.0,1,  25.5,1,  25.0,1,1010.6,1, 97,
419920,99999,20121118,0000,4,FM-12,    ,999,9,C,  0.0,1,  24.5,1,  24.0,1,1008.3,1, 97,
419920,99999,20121118,0600,4,FM-12,    ,999,9,C,  0.0,1,  30.2,1,  21.0,1,1010.0,1, 58,
419920,99999,20121118,1200,4,FM-12,    ,999,9,C,  0.0,1,  28.2,1,  26.0,1,1008.8,1, 88,
419920,99999,20121118,1800,4,FM-12,    ,999,9,C,  0.0,1,  26.2,1,  25.0,1,1009.7,1, 93,
419920,99999,20121119,0000,4,FM-12,    ,999,9,C,  0.0,1,  25.2,1,  25.0,1,1008.8,1, 99,
419920,99999,20121119,0600,4,FM-12,    ,999,9,C,  0.0,1,  31.0,1,  26.0,1,1009.5,1, 75,
419920,99999,20121119,1200,4,FM-12,    ,999,9,C,  0.0,1,  28.5,1,  25.0,1,1009.2,1, 81,
419920,99999,20121120,0000,4,FM-12,    ,999,9,C,  0.0,1,  25.5,1,  25.0,1,1010.2,1, 97,
419920,99999,20121120,0600,4,FM-12,    ,130,1,N,  1.0,1,  28.5,1,  25.0,1,1011.8,1, 81,
419920,99999,20121120,0900,4,FM-12,    ,999,9,C,  0.0,1,  28.7,1,  23.0,1,1010.1,1, 71,
419920,99999,20121120,1200,4,FM-12,    ,999,9,C,  0.0,1,  26.8,1,  25.0,1,1010.4,1, 90,
419920,99999,20121120,1800,4,FM-12,    ,999,9,C,  0.0,1,  25.5,1,  25.0,1,1011.6,1, 97,
419920,99999,20121121,0000,4,FM-12,    ,999,9,C,  0.0,1,  24.8,1,  24.0,1,1010.5,1, 95,
419920,99999,20121121,0600,4,FM-12,    ,280,1,N,  2.6,1,  30.6,1,  25.0,1,1014.0,1, 72,
